Company Name,Exchange:Ticker,Geographic Locations,Primary Industry,Distress_Probability
"Alexander & Baldwin, Inc. (NYSE:ALEX)",NYSE:ALEX,United States and Canada (Primary),Diversified REITs,0.2718191755239164
"Sila Realty Trust, Inc. (NYSE:SILA)",NYSE:SILA,United States and Canada (Primary),Health Care REITs,0.26684377470961634
TLG Immobilien AG (HMSE:TLG),HMSE:TLG,Germany (Primary),Real Estate Operating Companies,0.2637137554081819
Gladstone Commercial Corporation (NasdaqGS:GOOD),NasdaqGS:GOOD,United States and Canada (Primary),Diversified REITs,0.26360917296961495
"National Health Investors, Inc. (NYSE:NHI)",NYSE:NHI,United States and Canada (Primary),Health Care REITs,0.2624509332577885
Whitestone REIT (NYSE:WSR),NYSE:WSR,United States and Canada (Primary),Retail REITs,0.2466848641831893
Urban Edge Properties (NYSE:UE),NYSE:UE,United States and Canada (Primary),Retail REITs,0.24539478718980315
Charter Hall Long WALE REIT (ASX:CLW),ASX:CLW,Australia (Primary),Diversified REITs,0.24499199321402443
Great Portland Estates Plc (LSE:GPE),LSE:GPE,United Kingdom (Primary),Office REITs,0.23977532875140115
"KATITAS CO., Ltd. (TSE:8919)",TSE:8919,Japan (Primary),Real Estate Development,0.23536923106639
SBA Communications Corporation (NasdaqGS:SBAC),NasdaqGS:SBAC,United States and Canada (Primary),Telecom Tower REITs,0.23488556125074841
"Four Corners Property Trust, Inc. (NYSE:FCPT)",NYSE:FCPT,United States and Canada (Primary),Other Specialized REITs,0.23459569394205823
GAG Immobilien AG (HMSE:GWK3),HMSE:GWK3,Germany (Primary),Real Estate Operating Companies,0.2328559742323419
Welltower Inc. (NYSE:WELL),NYSE:WELL,United States and Canada (Primary),Health Care REITs,0.23035160980675626
EPR Properties (NYSE:EPR),NYSE:EPR,United States and Canada (Primary),Other Specialized REITs,0.22844871957420837
Safehold Inc. (NYSE:SAFE),NYSE:SAFE,United States and Canada (Primary),Other Specialized REITs,0.22445960303829665
"Innovative Industrial Properties, Inc. (NYSE:IIPR)",NYSE:IIPR,United States and Canada (Primary),Industrial REITs,0.22390295437473307
"Sabra Health Care REIT, Inc. (NasdaqGS:SBRA)",NasdaqGS:SBRA,United States and Canada (Primary),Health Care REITs,0.21565063271277563
"GOLDCREST Co.,Ltd. (TSE:8871)",TSE:8871,Japan (Primary),Real Estate Development,0.21445437115620244
"LTC Properties, Inc. (NYSE:LTC)",NYSE:LTC,United States and Canada (Primary),Health Care REITs,0.21302992077821417
Cedar Woods Properties Limited (ASX:CWP),ASX:CWP,Australia (Primary),Real Estate Development,0.20750877896255565
