Company Name,Exchange:Ticker,Geographic Locations,Primary Industry,Distress_Probability
"TOC Co., Ltd. (TSE:8841)",TSE:8841,Japan (Primary),Real Estate Operating Companies,0.20600432805202637
"Apple Hospitality REIT, Inc. (NYSE:APLE)",NYSE:APLE,United States and Canada (Primary),Hotel and Resort REITs,0.20191329394368324
"Digital Realty Trust, Inc. (NYSE:DLR)",NYSE:DLR,United States and Canada (Primary),Data Center REITs,0.19715977965668216
"LOTTE REIT Co., Ltd. (KOSE:A330590)",KOSE:A330590,"Korea, South (Primary)",Retail REITs,0.19554771819151143
Abacus Group (ASX:ABG),ASX:ABG,Australia (Primary),Office REITs,0.19506757942094408
"Kasumigaseki Capital Co.,Ltd. (TSE:3498)",TSE:3498,Japan (Primary),Real Estate Development,0.1950498940896543
Iron Mountain Incorporated (NYSE:IRM),NYSE:IRM,United States and Canada (Primary),Other Specialized REITs,0.19498801252807735
Hammerson Plc (LSE:HMSO),LSE:HMSO,United Kingdom (Primary),Retail REITs,0.1849271861667881
Cousins Properties Incorporated (NYSE:CUZ),NYSE:CUZ,United States and Canada (Primary),Office REITs,0.183782252691245
Choice Properties Real Estate Investment Trust (TSX:CHP.UN),TSX:CHP.UN,United States and Canada (Primary),Retail REITs,0.17847345275415538
Deutsche Wohnen SE (XTRA:DWNI),XTRA:DWNI,Germany (Primary),Real Estate Operating Companies,0.1748061981205165
"Alexander's, Inc. (NYSE:ALX)",NYSE:ALX,United States and Canada (Primary),Retail REITs,0.17315288672472234
"Ventas, Inc. (NYSE:VTR)",NYSE:VTR,United States and Canada (Primary),Health Care REITs,0.17186356352494406
Aspen Group (ASX:APZ),ASX:APZ,Australia (Primary),Diversified REITs,0.15570073541728371
Invincible Investment Corporation (TSE:8963),TSE:8963,Japan (Primary),Hotel and Resort REITs,0.15341331118606752
"Rexford Industrial Realty, Inc. (NYSE:REXR)",NYSE:REXR,United States and Canada (Primary),Industrial REITs,0.15333926358758548
Rayonier Inc. (NYSE:RYN),NYSE:RYN,United States and Canada (Primary),Timber REITs,0.1518290280799419
GemLife Communities Group (ASX:GLF),ASX:GLF,Australia (Primary),Real Estate Development,0.1479571716217406
"Sun Communities, Inc. (NYSE:SUI)",NYSE:SUI,United States and Canada (Primary),Single-Family Residential REITs,0.14683405943943623
Centuria Capital Group (ASX:CNI),ASX:CNI,Australia (Primary),Diversified REITs,0.1461688099184051
Tanger Inc. (NYSE:SKT),NYSE:SKT,United States and Canada (Primary),Retail REITs,0.1363598109790344
"Essential Properties Realty Trust, Inc. (NYSE:EPRT)",NYSE:EPRT,United States and Canada (Primary),Diversified REITs,0.13472730309881142
"Omega Healthcare Investors, Inc. (NYSE:OHI)",NYSE:OHI,United States and Canada (Primary),Health Care REITs,0.1325462887281392
Mirvac Group (ASX:MGR),ASX:MGR,Australia (Primary),Diversified REITs,0.13171803215568104
COPT Defense Properties (NYSE:CDP),NYSE:CDP,United States and Canada (Primary),Office REITs,0.12967572516939815
Grainger plc (LSE:GRI),LSE:GRI,United Kingdom (Primary),Multi-Family Residential REITs,0.12831833438621426
"Equinix, Inc. (NasdaqGS:EQIX)",NasdaqGS:EQIX,United States and Canada (Primary),Data Center REITs,0.12816240953666383
Ichigo Inc. (TSE:2337),TSE:2337,Japan (Primary),Real Estate Operating Companies,0.12644453422137364
GSW Immobilien AG (HMSE:GIB),HMSE:GIB,Germany (Primary),Real Estate Operating Companies,0.12349578750500904
Peet Limited (ASX:PPC),ASX:PPC,Australia (Primary),Real Estate Development,0.1225368818791412
Kimco Realty Corporation (NYSE:KIM),NYSE:KIM,United States and Canada (Primary),Retail REITs,0.12224869849423156
W. P. Carey Inc. (NYSE:WPC),NYSE:WPC,United States and Canada (Primary),Diversified REITs,0.12162497786634721
"Gaming and Leisure Properties, Inc. (NasdaqGS:GLPI)",NasdaqGS:GLPI,United States and Canada (Primary),Other Specialized REITs,0.11617328687354311
Slate Grocery REIT (TSX:SGR.UN),TSX:SGR.UN,United States and Canada (Primary),Retail REITs,0.11559911724218537
SEGRO Plc (LSE:SGRO),LSE:SGRO,United Kingdom (Primary),Industrial REITs,0.11419849617022253
Vonovia SE (XTRA:VNA),XTRA:VNA,Germany (Primary),Real Estate Operating Companies,0.11279568875472248
Cromwell Property Group (ASX:CMW),ASX:CMW,Australia (Primary),Office REITs,0.11264891411186259
"CareTrust REIT, Inc. (NYSE:CTRE)",NYSE:CTRE,United States and Canada (Primary),Health Care REITs,0.11201935850656755
Rural Funds Group (ASX:RFF),ASX:RFF,Australia (Primary),Other Specialized REITs,0.11134968599433877
Abacus Storage King (ASX:ASK),ASX:ASK,Australia (Primary),Self-Storage REITs,0.1083812067071704
"American Assets Trust, Inc. (NYSE:AAT)",NYSE:AAT,United States and Canada (Primary),Diversified REITs,0.10819328349053363
Picton Property Income Limited (LSE:PCTN),LSE:PCTN,United Kingdom (Primary),Diversified REITs,0.10613486454153642
Tosei Corporation (TSE:8923),TSE:8923,Japan (Primary),Real Estate Development,0.10580965686022367
